Generation Id,Best Fitness Trial 1,Best Fitness Trial 2,Best Fitness Trial 3,Best Fitness Trial 4,Best Fitness Trial 5
1,63560.7,71968.383095,218045.495374,745089.596299,828071.949117
2,55961.8,57155.495374,218045.495374,745089.596299,828071.949117
3,55961.8,54842.706476,218045.495374,630064.120690,528054.100925
4,51034.9,43278.899915,218045.495374,630064.120690,528054.100925
5,23934.3,42659.637509,218045.495374,590059.718250,528054.100925
6,23934.3,35944.858284,192059.777544,590059.718250,280033.544576
7,23934.3,31457.686712,192059.777544,400060.355339,280033.544576
8,23934.3,13351.272498,184040.355339,400060.355339,280033.544576
9,23934.3,13351.272498,180057.485701,300045.475609,244023.645081
10,23934.3,13351.272498,146036.373003,295064.517240,205035.816654
11,16930.6,13351.272498,146036.373003,220029.818755,135035.716149
12,16930.6,13351.272498,146036.373003,220029.818755,90025.836419
13,16930.6,13351.272498,100027.130362,220029.818755,90025.836419
14,10425.7,13351.272498,100027.130362,220029.818755,90025.836419
15,10425.7,10940.836419,100027.130362,175027.090833,60032.907486
16,10425.7,10940.836419,100027.130362,175027.090833,60032.907486
17,10425.7,10328.524811,71022.230867,175027.090833,45028.027756
18,10425.7,5622.211103,71022.230867,145045.716149,45028.027756
19,8820.7,5622.211103,71022.230867,140039.838520,45027.110597
20,8820.7,5622.211103,71022.230867,115025.576114,30034.321700
21,7420.7,5622.211103,69053.960890,110026.990328,15024.422205
22,6723.51,5224.282170,69053.960890,80035.716149,15024.422205
23,5218.63,5224.282170,67036.353238,80035.716149,15024.422205
24,4727.11,4439.201430,49033.404541,80035.716149,15024.422205
25,3620.82,3632.907486,49033.404541,80035.716149,15024.422205
26,3620.82,3632.907486,49033.404541,80035.716149,15024.422205
27,3620.82,3632.907486,49033.404541,80035.716149,15024.422205
28,3620.82,3632.907486,45017.230867,80035.716149,15024.422205
29,3617.21,3618.605551,45017.230867,80035.716149,15024.422205
30,3617.21,3618.605551,33023.524811,60012.211103,15024.422205
31,3613.61,3618.605551,33023.524811,60012.211103,15024.422205
32,3613.61,2017.211103,33023.524811,60012.211103,15024.422205
33,3613.61,2017.211103,33023.524811,60012.211103,15024.422205
34,3610.02,2017.211103,33023.524811,50010.000000,15024.422205
35,3610.02,2017.211103,33023.524811,50010.000000,15024.422205
36,3610.02,2017.211103,33023.524811,50010.000000,15024.422205
37,2618.63,2017.211103,33023.524811,40024.422205,15024.422205
38,2618.63,2017.211103,33023.524811,40024.422205,15024.422205
39,2618.63,2017.211103,33023.524811,40020.816654,34.422205
40,2618.63,2017.211103,25012.211103,40017.211103,34.422205
41,2618.63,1632.907486,15024.301935,20010.019765,34.422205
42,2617.23,1632.907486,15024.301935,20010.019765,34.422205
43,2617.23,1632.907486,15024.301935,20010.019765,34.422205
44,2617.23,34.301935,15024.301935,20010.019765,34.422205
45,2617.23,34.301935,15024.301935,27.230867,34.422205
46,2617.23,34.301935,15024.301935,27.230867,34.422205
47,2617.23,34.301935,15018.625316,27.230867,34.422205
48,2017.21,34.301935,15015.836419,27.230867,34.422205
49,2017.21,34.301935,15015.836419,27.230867,34.422205
50,2017.21,34.301935,15015.836419,27.230867,34.422205
51,2017.21,34.301935,15015.836419,27.230867,34.422205
52,2017.21,34.301935,15015.836419,27.230867,34.422205
53,34.3019,34.301935,15015.836419,27.230867,34.422205
54,34.3019,34.301935,15007.211103,27.230867,34.422205
55,34.3019,34.301935,15007.211103,27.230867,34.422205
56,34.3019,34.301935,15007.211103,27.230867,34.422205
57,34.3019,34.301935,15007.211103,27.230867,34.422205
58,34.3019,34.301935,15007.211103,27.230867,34.422205
59,34.3019,34.301935,10017.211103,27.230867,34.422205
60,34.3019,34.301935,10017.211103,27.230867,34.422205
61,34.3019,34.301935,10017.211103,27.230867,34.422205
62,34.3019,34.301935,10017.211103,27.230867,34.422205
63,34.3019,34.301935,27.230867,27.230867,34.422205
64,34.3019,34.301935,27.230867,27.230867,
65,34.3019,34.301935,27.230867,27.230867,
66,34.3019,34.301935,27.230867,27.230867,
67,34.3019,34.301935,27.230867,27.230867,
68,34.3019,34.301935,27.230867,27.230867,
69,34.3019,34.301935,27.230867,27.230867,
70,34.3019,34.301935,27.230867,27.230867,
71,34.3019,34.301935,27.230867,27.230867,
72,34.3019,27.230867,27.230867,
73,34.3019,27.230867,27.230867,
74,34.3019,27.230867,27.230867,
75,34.3019,27.230867,27.230867,
76,34.3019,27.230867,27.230867,
77,34.3019,27.230867,27.230867,
78,34.3019,27.230867,27.230867,
79,34.3019,27.230867,27.230867,
80,34.3019,27.230867,27.230867,
81,34.3019,27.230867,27.230867,
82,34.3019,27.230867,27.230867,
83,34.3019,27.230867,27.230867,
84,34.3019,27.230867,27.230867,
85,34.3019,27.230867,27.230867,
86,34.3019,27.230867,27.230867,
