Customer_ID,Latitude,Longitude,Demand
1,11.049758,76.940192,18
2,10.997077,76.976804,10
3,11.01673,76.955952,19
4,11.032916,76.973565,13
5,10.982177,76.951115,20
6,10.986276,76.984762,13
7,11.040202,76.930897,9
8,10.999102,76.981846,17
9,11.044416,76.93613,20
10,11.034896,76.960255,8
11,10.994937,76.997414,12
12,11.021607,76.962263,18
13,11.025327,76.958804,9
14,11.00068,76.941666,9
15,11.013923,76.96443,15
16,11.022383,76.988279,13
17,11.009945,76.939417,16
18,11.014644,76.994108,9
19,11.025482,76.992628,17
20,11.019361,76.925213,13
21,11.001151,76.936298,12
22,11.04334,76.933893,18
23,11.019261,76.958144,17
24,11.056401,76.965911,13
25,10.992444,76.95403,17
26,10.992558,76.927491,19
27,11.004292,76.960244,17
28,10.997707,76.987269,15
29,11.01736,76.955183,17
30,11.03593,76.961694,11
31,11.00686,76.98635,10
32,11.010125,76.952062,20
33,11.03305,76.947584,11
34,11.029956,76.984518,10
35,11.023436,76.981455,19
36,11.022744,76.939115,14
37,10.987021,76.965995,11
38,10.982999,76.947931,11
39,11.015467,76.929481,18
40,11.020614,76.993124,13
41,11.01793,76.955428,9
42,11.043623,76.969517,8
43,11.042378,76.941124,10
44,11.021045,76.981252,9
45,11.030578,76.927279,11
46,10.99244,76.989684,14
47,11.031132,76.97017,15
48,11.008869,76.976427,20
49,11.015216,76.978979,20
50,10.997369,76.941317,19
51,10.988293,76.95816,10
52,10.998428,76.974628,16
53,10.991096,76.970327,12
54,11.001288,76.961991,12
55,11.007046,76.96788,12
56,11.022066,76.959458,14
57,11.010708,76.944182,15
58,11.043266,76.926798,14
59,11.020834,76.963856,15
60,11.004747,76.947712,8
61,10.99232,76.94571,18
62,11.02417,76.943887,9
63,11.038519,76.964175,11
64,11.004405,76.947588,12
65,11.011523,76.938632,14
66,11.0242,76.96274,10
67,11.026887,76.946818,11
68,11.01562,76.954009,16
69,10.97112,76.946312,11
70,11.012513,76.937914,12
71,11.030089,76.986792,8
72,11.006266,76.96745,9
73,11.023339,76.973672,12
74,10.982764,76.978774,18
75,11.022947,76.971129,12
76,11.023181,76.950175,14
77,11.005641,76.941565,8
78,10.991234,76.955941,9
79,11.022162,76.946275,14
80,11.009591,76.957366,10
81,10.997295,76.958187,15
82,10.98128,76.926613,14
83,11.02549,76.977058,9
84,11.033517,76.935271,10
85,10.972182,76.957736,10
86,11.023313,76.935132,14
87,11.036757,76.973911,12
88,11.071795,76.970333,17
89,11.037834,76.956679,12
90,10.992649,76.939202,9
91,11.005904,76.953175,20
92,11.03234,76.971296,10
93,10.999863,76.924918,8
94,11.020788,76.951915,9
95,11.028625,76.95953,14
96,11.001017,76.947881,19
97,11.039922,76.938893,18
98,11.000697,76.954646,17
99,11.027947,76.966374,8
100,11.065704,76.975426,10
