Customer_ID,Latitude,Longitude,Demand
1,11.051931,76.962825,24
2,11.021279,77.015111,14
3,10.954613,76.940152,26
4,10.99031,76.942048,23
5,11.025989,76.93148,11
6,10.996552,76.92434,21
7,10.953538,76.969098,29
8,10.983929,76.908427,9
9,10.986989,76.976718,11
10,11.017019,76.981782,22
11,11.033012,76.975443,22
12,11.01691,77.04644,22
13,11.044876,76.882231,11
14,11.161383,77.003369,8
15,11.106438,76.938114,15
16,11.039951,76.995693,14
17,11.073728,76.890941,13
18,10.932599,77.035899,16
19,11.079603,76.924551,17
20,10.927865,77.002526,25
21,10.992508,76.916509,14
22,10.986341,77.056589,26
23,11.01553,76.94167,18
24,11.066409,76.974427,24
25,11.05985,76.931917,9
26,11.032653,76.951812,13
27,11.030438,76.962063,15
28,10.938363,77.009993,26
29,11.018078,77.00953,27
30,11.067748,76.984642,26
31,10.924309,76.942469,14
32,11.000011,76.925386,16
33,10.969447,76.992158,17
34,10.928097,76.980231,10
35,11.072436,76.95906,26
36,11.032399,76.955417,14
37,10.995491,76.955012,19
38,11.077064,76.899821,19
39,11.007433,76.99772,25
40,11.000967,76.90311,28
