Customer_ID,Latitude,Longitude,Demand
1,11.0868,77.0408,15
2,11.101066,77.030435,15
3,11.095617,77.013665,15
4,11.077983,77.013665,15
5,11.072534,77.030435,15
6,11.0868,76.9008,15
7,11.101066,76.890435,15
8,11.095617,76.873665,15
9,11.077983,76.873665,15
10,11.072534,76.890435,15
11,10.9468,77.0408,15
12,10.961066,77.030435,15
13,10.955617,77.013665,15
14,10.937983,77.013665,15
15,10.932534,77.030435,15
16,10.9468,76.9008,15
17,10.961066,76.890435,15
18,10.955617,76.873665,15
19,10.937983,76.873665,15
20,10.932534,76.890435,15
