Customer_ID,Latitude,Longitude,Demand
1,11.028369,76.941972,40
2,11.028307,76.951966,40
3,10.98697,76.962187,40
4,11.069892,76.977434,40
5,10.970546,77.001975,40
6,11.046905,76.988032,40
7,10.997621,76.93102,40
8,10.975779,76.896189,40
9,11.043451,76.982162,40
10,11.073427,76.987235,40
11,11.017722,76.908569,40
12,11.031836,76.9968,40
13,11.01772,76.919669,40
14,11.00167,76.915186,40
15,11.07122,77.006492,40
16,11.067019,76.967673,40
17,11.015433,76.909224,40
18,11.000358,77.014039,40
19,11.053613,76.924534,40
20,10.985705,76.963883,40
21,10.966251,76.983629,40
22,11.054723,77.013158,40
23,11.020725,76.910891,40
24,11.03597,77.009422,40
25,10.976615,76.959121,40
26,11.029591,77.011524,40
27,11.06827,76.986432,40
28,11.039584,76.981354,40
29,11.004679,76.976402,40
30,11.00161,77.003754,40
31,11.010978,76.925549,40
32,10.964483,76.898324,40
33,11.023271,76.966413,40
34,10.957663,76.980741,40
35,10.963865,76.903888,40
