Customer_ID,Latitude,Longitude,Demand
1,11.078719,77.023545,8
2,11.087348,76.913353,20
3,10.953564,77.024425,15
4,10.943766,76.892051,9
5,11.065287,77.021712,13
6,11.090542,76.879558,8
7,10.959422,76.996949,14
8,10.94207,76.913935,17
9,11.059251,77.031006,13
10,11.07999,76.893025,8
11,10.974107,76.997224,20
12,10.974278,76.914866,10
13,11.063425,77.005133,21
14,11.062084,76.912477,10
15,10.951583,77.002195,23
16,10.945136,76.909989,21
17,11.081255,77.032049,13
18,11.062185,76.905326,15
19,10.943695,77.02326,13
20,10.962859,76.90269,24
21,11.093483,77.029823,10
22,11.06619,76.89678,21
23,10.952617,77.018256,15
24,10.94682,76.906485,18
25,11.076628,76.999682,8
26,11.094532,76.89327,18
27,10.944385,76.997799,17
28,10.944205,76.911809,16
29,11.057205,77.017013,14
30,11.085828,76.880363,19
31,10.95237,77.023664,24
32,10.947215,76.893896,8
33,11.070998,77.001445,10
34,11.090193,76.890984,19
35,10.974455,77.031394,15
36,10.958333,76.906992,8
37,11.057962,77.004275,18
38,11.081629,76.906222,10
39,10.9626,77.013162,21
40,10.940039,76.909561,19
41,11.076687,77.018134,20
42,11.087507,76.911972,16
43,10.949883,77.009595,11
44,10.947731,76.885539,9
45,11.065588,77.008843,11
46,11.067639,76.888073,15
47,10.945306,77.022406,24
48,10.937474,76.905548,10
49,11.087869,77.000678,8
50,11.068092,76.906383,22
51,10.953833,77.032979,18
52,10.957186,76.885207,25
53,11.093704,77.030469,17
54,11.072735,76.884137,16
55,10.954951,77.015403,10
56,10.964661,76.877702,10
57,11.08217,77.030298,14
58,11.073735,76.90232,8
59,10.937584,77.027774,14
60,10.944947,76.901407,11
